t,side,size,entry,exit,pnl
2020-02-24 21:00:00,long,143.7962202136406,1647.165,1655.108,1142.173377156945
2020-03-20 07:00:00,short,57.04646026714058,1504.828,1503.335,85.17036517883736
2020-03-27 04:00:00,long,47.805064605130276,1617.178,1617.248,3.346354522356076
2020-04-15 06:00:00,long,61.825986345289046,1713.028,1715.468,150.85540668250866
2020-04-20 14:00:00,short,73.02392054997432,1689.588,1692.165,-188.1826432572837
2020-05-18 10:00:00,long,61.737650265030766,1735.318,1735.238,-4.93901202119797
2020-05-21 05:00:00,long,73.81785970388476,1740.178,1734.205,-440.91407601131726
2020-06-04 07:00:00,short,128.35793527092673,1712.378,1712.358,2.5671587054161997
2020-06-04 09:00:00,short,111.5146880774881,1716.868,1716.908,-4.460587523095467
2020-07-07 09:00:00,long,85.61120283740071,1776.795,1778.528,148.3642145172109
2020-07-30 13:00:00,long,135.43319274077987,1944.438,1949.425,675.4053321982493
2020-08-03 10:00:00,long,57.82495559869489,1964.075,1964.035,-2.312998223945692
2020-08-07 16:00:00,long,88.92276422764174,2038.835,2030.785,-715.828252032512
2020-08-24 09:00:00,short,43.63192111348669,1949.988,1948.998,43.19560190235222
2020-10-12 07:00:00,long,69.96291965258374,1919.838,1919.838,0.0
2020-10-13 02:00:00,long,101.10931361220283,1913.015,1914.868,187.35555812339547
2020-11-12 14:00:00,short,134.14330337466168,1876.858,1877.718,-115.36324090222612
2020-12-01 16:00:00,short,90.86424881227364,1806.465,1814.308,-712.648303434669
2020-12-09 08:00:00,long,96.11291894934772,1853.605,1856.878,314.5775837212065
2021-01-12 08:00:00,short,88.59413759935207,1857.978,1859.615,-145.02860325013432
2021-01-14 14:00:00,short,81.08515099213479,1855.218,1849.435,468.91542818752595
2021-02-07 21:00:00,short,75.28257853586125,1812.865,1815.355,-187.45362055429518
2021-02-19 13:00:00,short,88.5325104025692,1786.825,1782.995,339.0795148418537
2021-03-08 01:00:00,short,72.61712104236693,1707.685,1707.658,1.9606622681470773
2021-03-09 06:00:00,short,89.91881615455792,1697.265,1702.628,-482.23461103687873
2021-03-10 07:00:00,long,97.88840721577434,1710.998,1711.718,70.4796531953602
2021-03-31 19:00:00,short,136.74545809728508,1703.858,1707.768,-534.6747411603959
2021-04-09 08:00:00,long,98.86586726551151,1745.395,1744.758,-62.97755744812526
2021-04-22 15:00:00,long,140.75444381886922,1784.975,1782.557,-340.34424515401065
2021-05-04 08:00:00,long,105.80890911014647,1782.835,1783.465,66.65961273937977
2021-05-19 08:00:00,long,148.3931145594829,1857.448,1855.775,-248.26168065801517
2021-06-18 08:00:00,short,86.647604193744,1793.058,1794.068,-87.51408023568065
2021-06-24 08:00:00,short,85.8906244248393,1787.458,1787.402,4.809874967794438
2021-07-16 08:00:00,long,128.36264280344037,1819.408,1817.678,-222.06737204992498
2021-08-11 09:00:00,short,135.0022178935788,1744.638,1744.608,4.050066536803681
2021-08-11 20:00:00,short,112.69056779947442,1745.708,1752.235,-735.5313360271489
2021-08-25 06:00:00,long,112.69419624889358,1794.508,1794.128,-42.82379457459186
2021-08-30 20:00:00,long,155.9506304861197,1810.098,1810.348,38.98765762152993
2021-09-09 08:00:00,short,201.32297958009656,1798.897,1798.907,-2.0132297957991345
2021-09-17 06:00:00,short,153.5390756947662,1765.847,1766.118,-41.60908951327522
2021-09-29 08:00:00,short,160.49524246245636,1745.225,1743.318,306.0644273758923
2021-10-15 03:00:00,long,135.4436747803871,1791.648,1791.728,10.83549398245191
2021-10-15 06:00:00,long,210.374466550462,1785.908,1783.608,-483.861273066053
2021-10-26 07:00:00,long,175.15764187769216,1800.508,1801.368,150.63557201479773
2021-11-12 05:00:00,long,187.35613725175045,1853.138,1852.968,-31.85054333276861
2021-11-26 02:00:00,short,143.243022018499,1801.029,1801.029,0.0
2021-11-30 06:00:00,short,138.41925214055573,1796.935,1795.998,129.6988392556866
2022-01-13 11:00:00,long,122.80701754385915,1814.558,1814.558,0.0
2022-01-21 07:00:00,long,128.11361847764442,1831.548,1831.878,42.277494097613335
2022-02-15 12:00:00,long,147.04646668346976,1852.368,1852.418,7.352323334166801
